Text,is_rule,ID,source,base,n_tokens,n_chars,n_deontic,n_quantitative,n_coref,n_ext_ref,has_shall,has_must,has_should,has_may,starts_capital,ends_period,n_commas,n_semicolons,n_numbers
"(1)   Before construction of a new building starts, the person who is to carry out the work must analyse and take into account the technical, environmental and economic feasibility of using high-efficiency alternative systems (such as the following systems) in the construction, if available(a)   decentralised energy supply systems based on energy from renewable sources;(b)  cogeneration;(c)   district or block heating or cooling, particularly where it is based entirely or partially on energy from renewable sources; and(d)  heat pumps.",0,87_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,82,540,1,0,3,0,0,1,0,0,0,1,4,3,1
"(1)   Before construction of a new building starts, the person who is to carry out the work must analyse and take into account the technical, environmental and economic feasibility of using highefficiency alternative systems (such as the following systems) in the construction, if available(a)   decentralised energy supply systems based on energy from renewable sources;(b)  cogeneration;(c)   district or block heating or cooling, particularly where it is based entirely or partially on energy from renewable sources; and(d)  heat pumps.",0,108_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,81,539,1,0,3,0,0,1,0,0,0,1,4,3,1
"(1)   For the purposes of this Part and Part S of Schedule 1, an electric vehicle charge point must meet the following minimum standards.",0,97_UK_DocS_InfrastructureForChargingOfElectricalVehicles,accord_official,ACCORD Official,24,137,1,1,2,1,0,1,0,0,0,1,1,0,2
"(1)   Where there is a material change of use of the whole of a building, such work, if any, shall be carried out as is necessary to ensure that the building complies with the applicable requirements of the following paragraphs of Schedule 1(a)   in all cases, B1 (means of warning and escape) B2 (internal fire spreadlinings) B3 (internal fire spreadstructure) B4(2) (external fire spreadroofs) B5 (access and facilities for the fire service) C2(c) (interstitial and surface condensation) F1 (ventilation) G1 (cold water supply) G3(1) to (3) (hot water supply and systems) G4 (sanitary conveniences and washing facilities) G5 (bathrooms) G6 (kitchens and food preparation areas) H1 (foul water drainage) H6 (solid waste storage) J1 to J4 (combustion appliances) L1 (conservation of fuel and power) P1 (electrical safety); S2 (infrastructure for the charging of electric vehicles);(b)  in the case of a material change of use described in regulation 5(c), (d), (e) or (f), A1 to A3 (structure);(c)  in the case of a building exceeding fifteen metres in height, B4(1) (external fire spreadwalls);(d)   in the case of a material change of use described in regulation 5(a), (b), (c), (d), (g), (h), (i) or, where the material change provides new residential accommodation, (f), C1(2) (resistance to contaminants);(e)  in the case of a material change of use described in regulation 5(a), C2 (resistance to moisture);(f)   in the case of a material change of use described in regulation 5(a), (b), (c), (g), (h) or (i), E1 to E3 (resistance to the passage of sound);(g)   in the case of a material change of use described in regulation 5(e), where the public building consists of or contains a school, E4 (acoustic conditions in schools);(h)   in the case of a material change of use described in regulation 5(a) or (b), G2 (water efficiency) and G3(4) (hot water supply and systems: hot water supply to fixed baths);(i)   in the case of a material change of use described in regulation 5(c), (d), (e) or (j), M1 (access to and use of buildings Others than dwellings);(j)  in the case of a material change of use described in regulation 5(a), (b) or (g), Q1 (security).",0,432_UK_DocM_V2_AccessAndUseOfBuildings | 438_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,377,2165,1,0,2,2,1,0,0,0,0,1,31,10,16
"(1)  Reasonable provision must be made for people to (a) may apply only in relation to a dwelling that is (a) gain access to; and (b) use, the dwelling and its facilities.",0,35_UK_DocM_V1_AccessAndUseOfBuildings,accord_official,ACCORD Official,32,171,2,0,0,0,0,1,0,1,0,1,1,1,1
"(1)  The Secretary of State shall approve(a)   a methodology of calculation of the energy performance of buildings, including methods for calculating asset ratings and operational ratings of buildings; and(b)   ways in which the energy performance of buildings, as calculated in accordance with the methodology, shall be expressed.",0,29_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,49,331,1,0,0,0,1,0,0,0,0,1,3,1,1
"(1) Water supplied:  a. for such domestic purposes as consist  in or include, cooking, drinking, food  preparation or washing; or  b. to premises in which food is produced,  shall, subject to paragraphs (4) and  (5), be regarded as wholesome for the  purposes of Chapter III (quality and  sufficiency of supplies) of Part III (water  supply) of the Water Industry Act 1991,  as it applies to the supply of water for those  domestic purposes, if the requirements  of paragraph (2) are satisfied.",0,243_UK_DocG_Sanitation,accord_official,ACCORD Official,81,494,1,0,3,1,1,0,0,0,0,1,8,1,5
"(1) Where regulation 36 applies, the person carrying out  the work must give the local authority a notice which  specifies   (a) which of the requirements in regulation 36(2)(a) or (b)  applies to the dwelling; and   (b) the potential consumption of wholesome water per  person per day in relation to the completed dwelling.",0,66_UK_DocG_Sanitation,accord_official,ACCORD Official,54,324,1,0,0,0,0,1,0,0,0,1,1,1,4
(2)   Fixed systems for mechanical ventilation and any associated controls must be commissioned by testing and adjusting as necessary to secure that the objective referred to in subparagraph (1) is Requirement F1 does not apply to a building or space within a building:into which people do not normally go;b.  which is used solely for storage; orc.  which is a garage used solely in connection with a single dwelling.,0,87_UK_DocF_V2_Ventilation,accord_official,ACCORD Official,70,417,1,0,0,1,0,1,0,0,0,1,0,2,2
(2)   Fixed systems for mechanical ventilation and any associated controls must be commissioned by testing and adjusting as necessary to secure that the objective referred to in subparagraph (1) is met.,0,171_UK_DocF_V1_Ventilation,accord_official,ACCORD Official,31,202,1,0,0,1,0,1,0,0,0,1,0,0,2
"(2)   Not later than the day before the work starts, the person carrying out the work must give the local authority a notice which specifies(a)   the target primary energy rate for the building calculated and expressed in accordance with the methodology approved pursuant to regulation 24;(b)   the calculated target primary energy rate for the building as designed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24; and(c)   the list of specifications to which the building is to be constructed.",0,38_UK_DocL_V1_ConsrvationOfFuelAndPower | 39_UK_DocM_V2_AccessAndUseOfBuildings,accord_official,ACCORD Official,86,542,1,0,0,0,0,1,0,0,0,1,2,2,3
"(2)   Not later than the day before the work starts, the person carrying out the work shall give the local authority a notice which specifies (a)   the target fabric energy efficiency rate for the dwelling, calculated and expressed in accordance with the methodology approved pursuant to regulation 24; (b)   the fabric energy efficiency rate for the dwelling as designed, calculated and expressed in accordance with the methodology approved pursuant to regulation 24; and (c)  a list of specifications to which the dwelling is to be constructed.",0,35_UK_DocL_V1_ConsrvationOfFuelAndPower,accord_official,ACCORD Official,86,546,1,0,0,0,1,0,0,0,0,1,3,2,3
