,Abordagem,ACCORD Official,Base Construída,Parquet,Interpretab.,Avaliação,Média
0,TF-IDF + LR,0.8269,0.8652,0.8613,Alta,CV 5-fold,0.8511
1,TF-IDF + RF ⭐,0.8428,0.8795,0.885,Média,CV 5-fold,0.8691
2,TF-IDF + SVM,0.8359,0.8711,0.8671,Baixa,CV 5-fold,0.858
3,TF-IDF+Feat + LR,0.7983,0.8506,0.8507,Alta,CV 5-fold,0.8332
4,TF-IDF+Feat + RF,0.852,0.8829,0.8874,Média,CV 5-fold,0.8741
5,TF-IDF+Feat + SVM,0.8374,0.8678,0.8741,Baixa,CV 5-fold,0.8598
6,RoBERTa + LR,0.7795,0.8102,0.8138,Baixa,CV 5-fold,0.8012
7,RoBERTa + RF,0.7727,0.852,0.861,Baixa,CV 5-fold,0.8286
8,RoBERTa + SVM,0.7814,0.819,0.8159,Baixa,CV 5-fold,0.8054
9,DRES,0.8604,0.8775,0.8767,Média,Holdout,0.8715
