Base,Representação,Modelo,kernel_sizes,num_filters,dropout,F1-Regra,F1-NRegra,F1-Macro,AUC-ROC
Parquet,CNN (PyTorch),CNN-Kim2014,"[3, 4, 5]",100,0.5,0.8718,0.9031,0.8875,0.9443
Parquet,CNN (PyTorch),CNN-ShortPatterns,"[2, 3, 4]",128,0.3,0.8702,0.896,0.8831,0.9476
Parquet,CNN (PyTorch),CNN-LongPatterns,"[4, 5, 6]",128,0.3,0.8611,0.8936,0.8773,0.945
Parquet,CNN (PyTorch),CNN-HighCapacity,"[3, 4, 5]",256,0.5,0.8604,0.8885,0.8745,0.9411
Parquet,CNN (PyTorch),CNN-HighDropout,"[3, 4, 5]",100,0.7,0.8764,0.903,0.8897,0.9472
Parquet,CNN (PyTorch),CNN-SingleKernel,[3],200,0.5,0.8625,0.8872,0.8748,0.9462
ACCORD Official,CNN (PyTorch),CNN-Kim2014,"[3, 4, 5]",100,0.5,0.8509,0.9216,0.8863,0.9415
ACCORD Official,CNN (PyTorch),CNN-ShortPatterns,"[2, 3, 4]",128,0.3,0.8696,0.9314,0.9005,0.9474
ACCORD Official,CNN (PyTorch),CNN-LongPatterns,"[4, 5, 6]",128,0.3,0.8418,0.9191,0.8804,0.9439
ACCORD Official,CNN (PyTorch),CNN-HighCapacity,"[3, 4, 5]",256,0.5,0.8562,0.9251,0.8907,0.9387
ACCORD Official,CNN (PyTorch),CNN-HighDropout,"[3, 4, 5]",100,0.7,0.845,0.9157,0.8803,0.9414
ACCORD Official,CNN (PyTorch),CNN-SingleKernel,[3],200,0.5,0.858,0.9195,0.8887,0.9472
Base Construída,CNN (PyTorch),CNN-Kim2014,"[3, 4, 5]",100,0.5,0.8842,0.8983,0.8912,0.9546
Base Construída,CNN (PyTorch),CNN-ShortPatterns,"[2, 3, 4]",128,0.3,0.8701,0.89,0.88,0.949
Base Construída,CNN (PyTorch),CNN-LongPatterns,"[4, 5, 6]",128,0.3,0.8808,0.9038,0.8923,0.9489
Base Construída,CNN (PyTorch),CNN-HighCapacity,"[3, 4, 5]",256,0.5,0.8737,0.8966,0.8851,0.9445
Base Construída,CNN (PyTorch),CNN-HighDropout,"[3, 4, 5]",100,0.7,0.8714,0.8859,0.8786,0.9485
Base Construída,CNN (PyTorch),CNN-SingleKernel,[3],200,0.5,0.8745,0.893,0.8837,0.9497
