Base,Modelo,Representação,Accuracy,Precision,Recall,F1-Regra,F1-NRegra,F1-Macro,F1-Weighted
Parquet,Logistic Regression,TF-IDF,0.8693,0.8333,0.8635,0.8481,0.8852,0.8667,0.8696
Parquet,Random Forest,TF-IDF,0.8659,0.8244,0.8675,0.8454,0.8816,0.8635,0.8663
Parquet,SVM,TF-IDF,0.8862,0.8447,0.8956,0.8694,0.8992,0.8843,0.8866
ACCORD Official,Logistic Regression,TF-IDF,0.8865,0.815,0.8704,0.8418,0.9115,0.8767,0.8873
ACCORD Official,Random Forest,TF-IDF,0.8908,0.8675,0.8086,0.8371,0.9179,0.8775,0.8898
ACCORD Official,SVM,TF-IDF,0.8715,0.7931,0.8519,0.8214,0.8997,0.8605,0.8725
Base Construída,Logistic Regression,TF-IDF,0.8628,0.822,0.8821,0.851,0.8729,0.8619,0.8632
Base Construída,Random Forest,TF-IDF,0.87,0.8246,0.8984,0.8599,0.8788,0.8694,0.8704
Base Construída,SVM,TF-IDF,0.8718,0.8277,0.8984,0.8616,0.8807,0.8711,0.8722
Parquet,Logistic Regression,TF-IDF + Features,0.8387,0.7873,0.8474,0.8162,0.8563,0.8363,0.8394
Parquet,Random Forest,TF-IDF + Features,0.8812,0.8429,0.8835,0.8627,0.8952,0.879,0.8815
Parquet,SVM,TF-IDF + Features,0.8829,0.8409,0.8916,0.8655,0.8962,0.8809,0.8832
ACCORD Official,Logistic Regression,TF-IDF + Features,0.848,0.7486,0.8457,0.7942,0.8795,0.8368,0.8499
ACCORD Official,Random Forest,TF-IDF + Features,0.8887,0.8571,0.8148,0.8354,0.9159,0.8757,0.888
ACCORD Official,SVM,TF-IDF + Features,0.8779,0.8144,0.8395,0.8267,0.9058,0.8663,0.8784
Base Construída,Logistic Regression,TF-IDF + Features,0.8484,0.8115,0.8577,0.834,0.8605,0.8472,0.8487
Base Construída,Random Forest,TF-IDF + Features,0.8827,0.8467,0.8984,0.8718,0.8918,0.8818,0.8829
Base Construída,SVM,TF-IDF + Features,0.8736,0.8385,0.8862,0.8617,0.8837,0.8727,0.8739
